Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,35.240002,35.290001,34.950001,34.950001,27.665697,20229900
2014-01-03,35.150002,35.160000,34.610001,34.799999,27.546963,24618300
2014-01-06,35.009998,35.049999,34.799999,34.959999,27.673613,20791500
2014-01-07,35.130001,35.150002,34.910000,34.950001,27.665697,25725100
2014-01-08,34.450001,34.599998,34.099998,34.240002,27.465168,37745500
2014-01-09,34.240002,34.240002,33.509998,33.540001,26.903667,36082200
2014-01-10,33.740002,33.810001,33.509998,33.619999,26.967834,25342100
2014-01-13,33.590000,33.650002,33.200001,33.299999,26.711153,29281000
2014-01-14,33.330002,33.549999,33.160000,33.480000,26.855536,22883600
2014-01-15,33.660000,34.000000,33.549999,33.790001,27.104204,25786400
2014-01-16,33.889999,34.080002,33.810001,33.959999,27.240562,16239000
2014-01-17,34.029999,34.029999,33.680000,33.700001,27.032011,23921700
2014-01-21,33.840000,34.000000,33.200001,33.570000,26.927725,29421500
2014-01-22,33.599998,33.660000,33.310001,33.340000,26.743242,17411700
2014-01-23,33.220001,33.799999,33.150002,33.799999,27.112223,28463300
2014-01-24,33.830002,34.290001,33.419998,33.419998,26.807413,33184100
2014-01-27,33.529999,33.740002,33.430000,33.509998,26.879599,32786300
2014-01-28,33.500000,33.810001,33.349998,33.700001,27.032011,25457600
2014-01-29,32.400002,33.549999,32.009998,33.310001,26.719175,83139800
2014-01-30,33.540001,33.590000,33.009998,33.349998,26.751261,29077000
2014-01-31,32.970001,33.689999,32.770000,33.320000,26.727198,34211900
2014-02-03,33.320000,33.320000,31.900000,31.950001,25.628271,68010500
2014-02-04,32.080002,32.450001,32.000000,32.450001,26.029335,35940100
2014-02-05,32.400002,32.430000,32.040001,32.080002,25.732544,29793500
2014-02-06,32.310001,32.310001,31.740000,32.000000,25.668377,45322100
2014-02-07,32.180000,32.360001,31.950001,32.299999,25.909016,29170600
2014-02-10,32.450001,32.459999,32.220001,32.439999,26.021317,20621000
2014-02-11,32.619999,33.040001,32.509998,32.950001,26.430408,26228800
2014-02-12,32.910000,33.070000,32.810001,32.939999,26.422386,16554700
2014-02-13,32.830002,33.500000,32.709999,33.490002,26.863562,28062200
2014-02-14,33.380001,33.380001,33.060001,33.150002,26.590836,18274800
2014-02-18,33.230000,33.230000,32.630001,32.820000,26.326130,22311900
2014-02-19,32.720001,33.020000,32.599998,32.849998,26.350193,19410900
2014-02-20,32.849998,33.380001,32.669998,33.180000,26.614899,20488900
2014-02-21,33.080002,33.230000,32.779999,32.799999,26.310087,19327200
2014-02-24,32.830002,32.869999,32.459999,32.470001,26.045385,33499300
2014-02-25,32.509998,32.520000,32.049999,32.169998,25.804735,41048100
2014-02-26,32.250000,32.290001,31.889999,32.000000,25.668377,36742200
2014-02-27,31.990000,32.299999,31.809999,32.230000,25.852865,54923000
2014-02-28,32.250000,32.320000,31.790001,31.930000,25.612230,43468000
2014-03-03,31.799999,31.980000,31.760000,31.860001,25.556078,30481700
2014-03-04,32.099998,32.220001,32.029999,32.150002,25.788696,28444100
2014-03-05,32.240002,32.240002,32.009998,32.130001,25.772657,24144600
2014-03-06,32.150002,32.369999,32.099998,32.340000,25.941103,19531800
2014-03-07,32.480000,32.590000,32.259998,32.540001,26.101530,27103000
2014-03-10,32.279999,32.540001,32.189999,32.509998,26.077463,24935700
2014-03-11,32.529999,32.529999,32.139999,32.230000,25.852865,20731600
2014-03-12,32.250000,32.480000,32.160000,32.380001,25.973192,25024400
2014-03-13,32.500000,32.660000,32.299999,32.349998,25.949125,21708400
2014-03-14,32.290001,32.590000,32.259998,32.490002,26.061424,22368600
2014-03-17,32.680000,32.889999,32.529999,32.889999,26.382275,23584900
2014-03-18,32.930000,33.040001,32.849998,32.980000,26.454472,25998200
2014-03-19,33.020000,33.340000,32.820000,32.959999,26.438427,31803400
2014-03-20,33.070000,34.139999,33.009998,34.090000,27.344845,62615900
2014-03-21,34.340000,34.799999,34.130001,34.299999,27.513288,51002700
2014-03-24,34.410000,34.759998,34.230000,34.459999,27.641634,53804800
2014-03-25,34.380001,34.889999,34.369999,34.720001,27.850183,33408500
2014-03-26,34.910000,35.029999,34.610001,34.610001,27.761953,38594500
2014-03-27,34.660000,35.029999,34.599998,34.959999,28.042702,33382700
2014-03-28,35.080002,35.169998,34.770000,35.070000,28.130932,24745300
2014-03-31,35.299999,35.500000,34.990002,35.070000,28.130932,30486500
2014-04-01,35.009998,35.139999,34.650002,35.090000,28.146982,28773700
2014-04-02,35.160000,35.480000,35.040001,35.369999,28.371576,28086800
2014-04-03,35.450001,35.669998,35.349998,35.630001,28.580130,25397900
2014-04-04,35.830002,35.880001,35.500000,35.549999,28.515965,29350200
2014-04-07,35.540001,35.790001,35.490002,35.490002,28.467836,32673300
2014-04-08,35.049999,35.270000,34.910000,35.270000,28.662874,29291700
2014-04-09,35.250000,35.270000,34.740002,34.919998,28.378441,30493000
2014-04-10,35.150002,35.430000,34.970001,35.119999,28.540977,35424600
2014-04-11,35.130001,35.320000,35.009998,35.200001,28.605991,34551600
2014-04-14,35.279999,35.369999,35.060001,35.360001,28.736012,15456600
2014-04-15,35.349998,35.680000,35.330002,35.680000,28.996071,26484300
2014-04-16,35.759998,36.110001,35.700001,36.099998,29.337391,24216900
2014-04-17,36.029999,36.230000,35.919998,36.040001,29.288633,25311800
2014-04-21,36.080002,36.169998,35.860001,36.060001,29.304878,18756500
2014-04-22,36.099998,36.410000,35.959999,36.290001,29.491800,32001000
2014-04-23,35.009998,35.349998,34.459999,34.919998,28.378441,59638700
2014-04-24,35.000000,35.099998,34.450001,34.500000,28.037123,36619900
2014-04-25,34.430000,34.549999,34.320000,34.490002,28.028997,21984700
2014-04-28,34.669998,35.150002,34.560001,35.080002,28.508469,29626400
2014-04-29,35.320000,35.480000,35.049999,35.419998,28.784773,20731900
2014-04-30,35.430000,35.740002,35.259998,35.700001,29.012325,22553300
2014-05-01,35.750000,36.000000,35.410000,35.580002,28.914804,27837400
2014-05-02,35.700001,35.799999,35.520000,35.630001,28.955435,15943400
2014-05-05,35.580002,35.759998,35.439999,35.759998,29.061081,15938700
2014-05-06,35.759998,35.759998,35.480000,35.490002,28.841669,21487700
2014-05-07,35.560001,35.959999,35.520000,35.759998,29.061081,20267000
2014-05-08,35.889999,36.860001,35.799999,36.400002,29.581194,36474100
2014-05-09,36.380001,36.509998,36.180000,36.439999,29.613701,15015500
2014-05-12,36.730000,36.740002,36.160000,36.570000,29.719351,23982100
2014-05-13,36.480000,36.540001,35.889999,36.200001,29.418665,34252300
2014-05-14,36.099998,36.570000,36.009998,36.389999,29.573067,24179500
2014-05-15,36.400002,36.610001,35.580002,36.520000,29.678709,20337500
2014-05-16,36.549999,36.790001,36.509998,36.740002,29.857492,24018800
2014-05-19,35.990002,36.750000,35.770000,36.380001,29.564939,77607200
2014-05-20,36.349998,36.349998,35.419998,35.500000,28.849791,39979000
2014-05-21,35.669998,35.709999,35.090000,35.270000,28.662874,32682800
2014-05-22,35.320000,35.500000,35.250000,35.380001,28.752266,18026200
2014-05-23,35.360001,35.549999,35.250000,35.320000,28.703508,17373800
2014-05-27,35.290001,35.400002,35.099998,35.209999,28.614119,22452700
2014-05-28,35.290001,35.500000,35.209999,35.340000,28.719759,20503700
2014-05-29,35.369999,35.439999,35.000000,35.389999,28.760395,14166400
2014-05-30,35.290001,35.529999,35.290001,35.470001,28.825403,16164700
2014-06-02,35.500000,35.549999,35.299999,35.439999,28.801031,16222600
2014-06-03,35.430000,35.599998,35.150002,35.200001,28.605991,22262300
2014-06-04,35.200001,35.200001,34.950001,35.049999,28.484087,26906000
2014-06-05,35.070000,35.130001,34.799999,35.099998,28.524719,22265300
2014-06-06,35.070000,35.099998,34.889999,35.020000,28.459713,17130700
2014-06-09,35.049999,35.119999,34.939999,35.009998,28.451574,17660300
2014-06-10,34.919998,35.099998,34.860001,34.939999,28.394688,17694200
2014-06-11,34.950001,35.040001,34.799999,34.810001,28.289051,16329600
2014-06-12,34.840000,34.869999,34.619999,34.830002,28.305298,19062400
2014-06-13,34.919998,35.150002,34.779999,35.029999,28.467831,19976700
2014-06-16,34.970001,35.090000,34.900002,34.980000,28.427200,14109700
2014-06-17,35.020000,35.150002,34.950001,35.020000,28.459713,17310300
2014-06-18,35.020000,35.209999,34.970001,35.200001,28.605991,20301100
2014-06-19,35.250000,35.389999,35.200001,35.360001,28.736012,19514000
2014-06-20,35.630001,35.750000,35.349998,35.389999,28.760395,28984000
2014-06-23,35.570000,35.570000,35.259998,35.389999,28.760395,14507600
2014-06-24,35.389999,35.580002,35.209999,35.290001,28.679127,21166100
2014-06-25,35.220001,35.290001,35.099998,35.259998,28.654747,15275400
2014-06-26,35.310001,35.310001,35.099998,35.259998,28.654747,15789800
